source_reference,category,media_filename,storage_path,supabase_public_url,source_locations,notes
/images/17-1.jpg,A. SUPABASE READY,17-1.jpg,images/17-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/17-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/17.jpg,A. SUPABASE READY,17.jpg,images/17.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/17.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/18-1.jpg,A. SUPABASE READY,18-1.jpg,images/18-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/18-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/18.jpg,A. SUPABASE READY,18.jpg,images/18.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/18.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/19-e1730004655733.jpg,A. SUPABASE READY,19-e1730004655733.jpg,images/19-e1730004655733.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/19-e1730004655733.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/19.jpg,A. SUPABASE READY,19.jpg,images/19.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/19.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/2-1.jpg,A. SUPABASE READY,2-1.jpg,images/2-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/2-1.jpg,app\page.tsx; lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/2-2.jpg,A. SUPABASE READY,2-2.jpg,images/2-2.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/2-2.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/2-e1730003683288.jpg,A. SUPABASE READY,2-e1730003683288.jpg,images/2-e1730003683288.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/2-e1730003683288.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/20.jpg,A. SUPABASE READY,20.jpg,images/20.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/20.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/21.jpg,A. SUPABASE READY,21.jpg,images/21.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/21.jpg,app\page.tsx; lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/22.jpg,A. SUPABASE READY,22.jpg,images/22.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/22.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/23.jpg,A. SUPABASE READY,23.jpg,images/23.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/23.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/24.jpg,A. SUPABASE READY,24.jpg,images/24.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/24.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/3-1.jpg,A. SUPABASE READY,3-1.jpg,images/3-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/3-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/3-1024x767.jpg,A. SUPABASE READY,3-1024x767.jpg,images/3-1024x767.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/3-1024x767.jpg,app\page.tsx; lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/3.jpg,A. SUPABASE READY,3.jpg,images/3.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/3.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/4-1.jpg,A. SUPABASE READY,4-1.jpg,images/4-1.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/4-1.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/4-2.jpg,A. SUPABASE READY,4-2.jpg,images/4-2.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/4-2.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/4.jpg,A. SUPABASE READY,4.jpg,images/4.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/4.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
